run_id,seed,optimizer,init_scale,operation,mse,epochs
7,46231,adam,0.0,add,1.9408267662477077e-25,1
7,46231,adam,0.0,subtract,2.7295701077093e-25,1
7,46231,adam,0.0,multiply,5.917893879578709e-16,1
7,46231,adam,0.0,divide,1.8542548481681325e-28,1
7,46231,adam,0.0,identity,8.636981938621026e-24,1
7,46231,adam,0.0,reciprocal,7.894381530163388e-34,1
7,46231,adam,0.0,cos,9.142901021147687e-36,1
7,46231,adam,0.0,sin,9.078954128462954e-36,1
7,46231,adam,0.0,cos_add,3.690669699458268e-26,1
7,46231,adam,0.0,sin_add,3.716490942956583e-26,1
7,46231,adam,0.0,cos_sub,5.498914816093659e-26,1
7,46231,adam,0.0,sin_sub,5.66284491358216e-26,1
7,46231,adam,0.01,add,1.9408267662477077e-25,1
7,46231,adam,0.01,subtract,2.7295701077093e-25,1
7,46231,adam,0.01,multiply,5.917893879578709e-16,1
7,46231,adam,0.01,divide,1.8542548481681325e-28,1
7,46231,adam,0.01,identity,8.636981938621026e-24,1
7,46231,adam,0.01,reciprocal,7.894381530163388e-34,1
7,46231,adam,0.01,cos,9.142901021147687e-36,1
7,46231,adam,0.01,sin,9.078954128462954e-36,1
7,46231,adam,0.01,cos_add,3.690669699458268e-26,1
7,46231,adam,0.01,sin_add,3.716490942956583e-26,1
7,46231,adam,0.01,cos_sub,5.498914816093659e-26,1
7,46231,adam,0.01,sin_sub,5.66284491358216e-26,1
7,46231,adam,0.1,add,1.9408267662477077e-25,1
7,46231,adam,0.1,subtract,2.7295701077093e-25,1
7,46231,adam,0.1,multiply,5.917893879578709e-16,1
7,46231,adam,0.1,divide,1.8542548481681325e-28,1
7,46231,adam,0.1,identity,8.636981938621026e-24,1
7,46231,adam,0.1,reciprocal,7.894381530163388e-34,1
7,46231,adam,0.1,cos,9.142901021147687e-36,1
7,46231,adam,0.1,sin,9.078954128462954e-36,1
7,46231,adam,0.1,cos_add,3.690669699458268e-26,1
7,46231,adam,0.1,sin_add,3.716490942956583e-26,1
7,46231,adam,0.1,cos_sub,5.498914816093659e-26,1
7,46231,adam,0.1,sin_sub,5.66284491358216e-26,1
7,46231,adam,1.0,add,1.9408267662477077e-25,100
7,46231,adam,1.0,subtract,2.7295701077093e-25,100
7,46231,adam,1.0,multiply,5.917893879578709e-16,100
7,46231,adam,1.0,divide,8598286.584318131,100
7,46231,adam,1.0,identity,8.636981938621026e-24,100
7,46231,adam,1.0,reciprocal,7.894381530163388e-34,100
7,46231,adam,1.0,cos,9.142901021147687e-36,100
7,46231,adam,1.0,sin,9.078954128462954e-36,100
7,46231,adam,1.0,cos_add,3.690669699458268e-26,100
7,46231,adam,1.0,sin_add,3.716490942956583e-26,100
7,46231,adam,1.0,cos_sub,5.498914816093659e-26,100
7,46231,adam,1.0,sin_sub,5.66284491358216e-26,100
7,46231,adam,3.0,add,1.9408267662477077e-25,100
7,46231,adam,3.0,subtract,2.7295701077093e-25,100
7,46231,adam,3.0,multiply,5.917893879578709e-16,100
7,46231,adam,3.0,divide,745.4379532177339,100
7,46231,adam,3.0,identity,8.636981938621026e-24,100
7,46231,adam,3.0,reciprocal,1.0128645422909492,100
7,46231,adam,3.0,cos,9.142901021147687e-36,100
7,46231,adam,3.0,sin,9.078954128462954e-36,100
7,46231,adam,3.0,cos_add,3.690669699458268e-26,100
7,46231,adam,3.0,sin_add,3.716490942956583e-26,100
7,46231,adam,3.0,cos_sub,5.498914816093659e-26,100
7,46231,adam,3.0,sin_sub,5.66284491358216e-26,100
1,69163,adam,0.0,add,1.9672536880111612e-25,1
1,69163,adam,0.0,subtract,2.8947057621266994e-25,1
1,69163,adam,0.0,multiply,5.909138035899938e-16,1
1,69163,adam,0.0,divide,1.6541427129624132e-28,1
1,69163,adam,0.0,identity,8.704327013262799e-24,1
1,69163,adam,0.0,reciprocal,2.472712626221717e-34,1
1,69163,adam,0.0,cos,5.9252585382082405e-36,1
1,69163,adam,0.0,sin,7.165073001171647e-36,1
1,69163,adam,0.0,cos_add,3.633405311801022e-26,1
1,69163,adam,0.0,sin_add,3.747892243631586e-26,1
1,69163,adam,0.0,cos_sub,5.979471680097093e-26,1
1,69163,adam,0.0,sin_sub,5.917711265656527e-26,1
1,69163,adam,0.01,add,1.9672536880111612e-25,1
1,69163,adam,0.01,subtract,2.8947057621266994e-25,1
1,69163,adam,0.01,multiply,5.909138035899938e-16,1
1,69163,adam,0.01,divide,1.6541427129624132e-28,1
1,69163,adam,0.01,identity,8.704327013262799e-24,1
1,69163,adam,0.01,reciprocal,2.472712626221717e-34,1
1,69163,adam,0.01,cos,5.9252585382082405e-36,1
1,69163,adam,0.01,sin,7.165073001171647e-36,1
1,69163,adam,0.01,cos_add,3.633405311801022e-26,1
1,69163,adam,0.01,sin_add,3.747892243631586e-26,1
1,69163,adam,0.01,cos_sub,5.979471680097093e-26,1
1,69163,adam,0.01,sin_sub,5.917711265656527e-26,1
1,69163,adam,0.1,add,1.9672536880111612e-25,1
1,69163,adam,0.1,subtract,2.8947057621266994e-25,1
1,69163,adam,0.1,multiply,5.909138035899938e-16,1
1,69163,adam,0.1,divide,1.6541427129624132e-28,1
1,69163,adam,0.1,identity,8.704327013262799e-24,1
1,69163,adam,0.1,reciprocal,2.472712626221717e-34,1
1,69163,adam,0.1,cos,5.9252585382082405e-36,1
1,69163,adam,0.1,sin,7.165073001171647e-36,1
1,69163,adam,0.1,cos_add,3.633405311801022e-26,1
1,69163,adam,0.1,sin_add,3.747892243631586e-26,1
1,69163,adam,0.1,cos_sub,5.979471680097093e-26,1
1,69163,adam,0.1,sin_sub,5.917711265656527e-26,1
1,69163,adam,1.0,add,33364137.513354775,100
1,69163,adam,1.0,subtract,2.8947057621266994e-25,100
1,69163,adam,1.0,multiply,5.909138035899938e-16,100
1,69163,adam,1.0,divide,696.6590932481769,100
1,69163,adam,1.0,identity,8.704327013262799e-24,100
1,69163,adam,1.0,reciprocal,2.472712626221717e-34,100
1,69163,adam,1.0,cos,5.9252585382082405e-36,100
1,69163,adam,1.0,sin,0.04323920507676433,100
1,69163,adam,1.0,cos_add,3.633405311801022e-26,100
1,69163,adam,1.0,sin_add,3.747892243631586e-26,100
1,69163,adam,1.0,cos_sub,5.979471680097093e-26,100
1,69163,adam,1.0,sin_sub,5.917711265656527e-26,100
1,69163,adam,3.0,add,66443868.18074574,100
1,69163,adam,3.0,subtract,55564426.27038616,100
1,69163,adam,3.0,multiply,5.909138035899938e-16,100
1,69163,adam,3.0,divide,697.7042251863788,100
1,69163,adam,3.0,identity,8.704327013262799e-24,100
1,69163,adam,3.0,reciprocal,2.472712626221717e-34,100
1,69163,adam,3.0,cos,5.9252585382082405e-36,100
1,69163,adam,3.0,sin,0.043238447164859986,100
1,69163,adam,3.0,cos_add,3.633405311801022e-26,100
1,69163,adam,3.0,sin_add,3.747892243631586e-26,100
1,69163,adam,3.0,cos_sub,5.979471680097093e-26,100
1,69163,adam,3.0,sin_sub,5.917711265656527e-26,100
3,59588,adam,0.0,add,1.98950682519297e-25,1
3,59588,adam,0.0,subtract,2.864295672722127e-25,1
3,59588,adam,0.0,multiply,5.860668751472621e-16,1
3,59588,adam,0.0,divide,1.5268653449716918e-28,1
3,59588,adam,0.0,identity,8.648696417931725e-24,1
3,59588,adam,0.0,reciprocal,1.6265626973214346e-35,1
3,59588,adam,0.0,cos,7.369691302819282e-36,1
3,59588,adam,0.0,sin,8.143072546112281e-36,1
3,59588,adam,0.0,cos_add,3.7837668126036127e-26,1
3,59588,adam,0.0,sin_add,3.728057632117159e-26,1
3,59588,adam,0.0,cos_sub,5.904326870484065e-26,1
3,59588,adam,0.0,sin_sub,5.864896729483093e-26,1
3,59588,adam,0.01,add,1.98950682519297e-25,1
3,59588,adam,0.01,subtract,2.864295672722127e-25,1
3,59588,adam,0.01,multiply,5.860668751472621e-16,1
3,59588,adam,0.01,divide,1.5268653449716918e-28,1
3,59588,adam,0.01,identity,8.648696417931725e-24,1
3,59588,adam,0.01,reciprocal,1.6265626973214346e-35,1
3,59588,adam,0.01,cos,7.369691302819282e-36,1
3,59588,adam,0.01,sin,8.143072546112281e-36,1
3,59588,adam,0.01,cos_add,3.7837668126036127e-26,1
3,59588,adam,0.01,sin_add,3.728057632117159e-26,1
3,59588,adam,0.01,cos_sub,5.904326870484065e-26,1
3,59588,adam,0.01,sin_sub,5.864896729483093e-26,1
3,59588,adam,0.1,add,1.98950682519297e-25,1
3,59588,adam,0.1,subtract,2.864295672722127e-25,1
3,59588,adam,0.1,multiply,5.860668751472621e-16,1
3,59588,adam,0.1,divide,1.5268653449716918e-28,1
3,59588,adam,0.1,identity,8.648696417931725e-24,1
3,59588,adam,0.1,reciprocal,1.6265626973214346e-35,1
3,59588,adam,0.1,cos,7.369691302819282e-36,1
3,59588,adam,0.1,sin,8.143072546112281e-36,1
3,59588,adam,0.1,cos_add,3.7837668126036127e-26,1
3,59588,adam,0.1,sin_add,3.728057632117159e-26,1
3,59588,adam,0.1,cos_sub,5.904326870484065e-26,1
3,59588,adam,0.1,sin_sub,5.864896729483093e-26,1
3,59588,adam,1.0,add,1.98950682519297e-25,100
3,59588,adam,1.0,subtract,2.864295672722127e-25,100
3,59588,adam,1.0,multiply,5.860668751472621e-16,100
3,59588,adam,1.0,divide,570.157027432095,100
3,59588,adam,1.0,identity,8.648696417931725e-24,100
3,59588,adam,1.0,reciprocal,1.000885545694865,100
3,59588,adam,1.0,cos,7.369691302819282e-36,100
3,59588,adam,1.0,sin,8.143072546112281e-36,100
3,59588,adam,1.0,cos_add,0.7508562170651087,100
3,59588,adam,1.0,sin_add,3.728057632117159e-26,100
3,59588,adam,1.0,cos_sub,5.904326870484065e-26,100
3,59588,adam,1.0,sin_sub,0.7523279187713446,100
3,59588,adam,3.0,add,1.98950682519297e-25,100
3,59588,adam,3.0,subtract,2.864295672722127e-25,100
3,59588,adam,3.0,multiply,5.860668751472621e-16,100
3,59588,adam,3.0,divide,570.157027432095,100
3,59588,adam,3.0,identity,8.648696417931725e-24,100
3,59588,adam,3.0,reciprocal,1.000885545694865,100
3,59588,adam,3.0,cos,7.369691302819282e-36,100
3,59588,adam,3.0,sin,8.143072546112281e-36,100
3,59588,adam,3.0,cos_add,0.7508562170651087,100
3,59588,adam,3.0,sin_add,3.728057632117159e-26,100
3,59588,adam,3.0,cos_sub,5.904326870484065e-26,100
3,59588,adam,3.0,sin_sub,0.7523279187713446,100
9,23890,adam,0.0,add,2.0077343467032964e-25,1
9,23890,adam,0.0,subtract,2.883977916492558e-25,1
9,23890,adam,0.0,multiply,5.941623159816346e-16,1
9,23890,adam,0.0,divide,1.6994066616188718e-28,1
9,23890,adam,0.0,identity,8.681604152878124e-24,1
9,23890,adam,0.0,reciprocal,7.352056063615441e-37,1
9,23890,adam,0.0,cos,6.744140229085693e-36,1
9,23890,adam,0.0,sin,6.545340624474629e-36,1
9,23890,adam,0.0,cos_add,3.675377618535098e-26,1
9,23890,adam,0.0,sin_add,3.690417298647975e-26,1
9,23890,adam,0.0,cos_sub,5.836497602602629e-26,1
9,23890,adam,0.0,sin_sub,5.975373806185483e-26,1
9,23890,adam,0.01,add,2.0077343467032964e-25,1
9,23890,adam,0.01,subtract,2.883977916492558e-25,1
9,23890,adam,0.01,multiply,5.941623159816346e-16,1
9,23890,adam,0.01,divide,1.6994066616188718e-28,1
9,23890,adam,0.01,identity,8.681604152878124e-24,1
9,23890,adam,0.01,reciprocal,7.352056063615441e-37,1
9,23890,adam,0.01,cos,6.744140229085693e-36,1
9,23890,adam,0.01,sin,6.545340624474629e-36,1
9,23890,adam,0.01,cos_add,3.675377618535098e-26,1
9,23890,adam,0.01,sin_add,3.690417298647975e-26,1
9,23890,adam,0.01,cos_sub,5.836497602602629e-26,1
9,23890,adam,0.01,sin_sub,5.975373806185483e-26,1
9,23890,adam,0.1,add,2.0077343467032964e-25,1
9,23890,adam,0.1,subtract,2.883977916492558e-25,1
9,23890,adam,0.1,multiply,5.941623159816346e-16,1
9,23890,adam,0.1,divide,1.6994066616188718e-28,1
9,23890,adam,0.1,identity,8.681604152878124e-24,1
9,23890,adam,0.1,reciprocal,7.352056063615441e-37,1
9,23890,adam,0.1,cos,6.744140229085693e-36,1
9,23890,adam,0.1,sin,6.545340624474629e-36,1
9,23890,adam,0.1,cos_add,3.675377618535098e-26,1
9,23890,adam,0.1,sin_add,3.690417298647975e-26,1
9,23890,adam,0.1,cos_sub,5.836497602602629e-26,1
9,23890,adam,0.1,sin_sub,5.975373806185483e-26,1
9,23890,adam,1.0,add,2.0077343467032964e-25,1
9,23890,adam,1.0,subtract,2.883977916492558e-25,1
9,23890,adam,1.0,multiply,5.941623159816346e-16,1
9,23890,adam,1.0,divide,1.6994066616188718e-28,1
9,23890,adam,1.0,identity,8.681604152878124e-24,1
9,23890,adam,1.0,reciprocal,7.352056063615441e-37,1
9,23890,adam,1.0,cos,6.744140229085693e-36,1
9,23890,adam,1.0,sin,6.545340624474629e-36,1
