config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.874526045819817e-32,100,6.874526045819817e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.224350147458519e-30,100,4.224350147458519e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.511068992527581e-32,100,3.511068992527581e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.741946195328507e-33,100,6.741946195328507e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.7932522598157998e-33,100,2.7932522598157998e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.251654991575667e-33,30,2.251654991575667e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.465574408779299e-28,100,1.465574408779299e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3247932827055367e-30,100,1.3247932827055367e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7067145564338167e-31,100,1.7067145564338167e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3308.9764964718875,100,1.3802166777541016e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.1956929996664102,100,4.0049905786527007e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1321722241800277e-30,100,3.1321722241800277e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.28618386943887e-31,70,2.28618386943887e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.334767481858888e-28,100,3.334767481858888e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7845685015417656e-32,20,4.7845685015417656e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.4894460955594593e-31,100,3.4894460955594593e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.90734848678814e-32,100,6.90734848678814e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.256607162911071e-30,100,4.256607162911071e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.5241304086691717e-32,100,3.5241304086691717e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.824002257335645e-33,100,6.824002257335645e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9668387695725707e-33,100,2.9668387695725707e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.306600368419253e-33,50,2.306600368419253e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.1978368800511278e-28,100,1.1978368800511278e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3082272036958954e-30,100,1.3082272036958954e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7196312978177062e-31,100,1.7196312978177062e-31,100
