config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.5","0.8,0.5",1.7463143229637145e-14,1,1.7463143229637145e-14,2
exponential_0.8_0.5,subtract,exponential,"0.8,0.5","0.8,0.5",1.1153097904487496e-14,1,1.1153097904487496e-14,2
exponential_0.8_0.5,multiply,exponential,"0.8,0.5","0.8,0.5",4.8142562121825364e-14,1,4.8142562121825364e-14,2
exponential_0.8_0.5,divide,exponential,"0.8,0.5","0.8,0.5",1.683382314757971e-12,1,1.683382314757971e-12,2
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",2.3086244027581415e-13,1,2.3086244027581415e-13,2
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",8.547926168677534e-14,1,8.547926168677534e-14,2
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3280.3378496885325,100,7.126813978630936e-12,2
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.19739849573207807,100,2.293366986006072e-15,2
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",4.548041943053249e-13,1,4.548041943053249e-13,2
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",8.94936070825103e-12,100,1.5032192227476647e-13,2
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",1.498094428212225e-11,2,1.498094428212225e-11,2
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",3.0068157784487762e-15,1,3.0068157784487762e-15,2
