config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.5","0.8,0.5",1.712038119588813e-14,1,1.712038119588813e-14,2
exponential_0.8_0.5,subtract,exponential,"0.8,0.5","0.8,0.5",1.1005411158579124e-14,1,1.1005411158579124e-14,2
exponential_0.8_0.5,multiply,exponential,"0.8,0.5","0.8,0.5",4.6595007835751367e-14,1,4.6595007835751367e-14,2
exponential_0.8_0.5,divide,exponential,"0.8,0.5","0.8,0.5",1.5568367409794054e-12,1,1.5568367409794054e-12,2
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",2.327666948076512e-13,1,2.327666948076512e-13,2
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",8.550789343086452e-14,1,8.550789343086452e-14,2
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3288.796711678903,100,7.1010996499454415e-12,2
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.20838595783854982,100,2.293742800159161e-15,2
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",4.55585791314661e-13,1,4.55585791314661e-13,2
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",8.289048354834641e-12,100,1.5093147109613585e-13,2
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",1.4942531084025016e-11,1,1.4942531084025016e-11,2
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",3.0325689777553764e-15,1,3.0325689777553764e-15,2
