config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.5","0.8,0.5",1.7571113547164504e-14,1,1.7571113547164504e-14,2
exponential_0.8_0.5,subtract,exponential,"0.8,0.5","0.8,0.5",1.1013866046869865e-14,1,1.1013866046869865e-14,2
exponential_0.8_0.5,multiply,exponential,"0.8,0.5","0.8,0.5",4.9718795078277126e-14,1,4.9718795078277126e-14,2
exponential_0.8_0.5,divide,exponential,"0.8,0.5","0.8,0.5",1.123030828212464e-12,1,1.123030828212464e-12,2
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",2.3225155132422516e-13,1,2.3225155132422516e-13,2
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",8.62496008708279e-14,1,8.62496008708279e-14,2
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3298.6509499726253,100,7.154876322712754e-12,2
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.16939410913688538,100,2.294740566362732e-15,2
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",4.563958100334275e-13,1,4.563958100334275e-13,2
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",1.7811520473347614e-11,100,1.5115805031484322e-13,2
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",1.494338967476331e-11,1,1.494338967476331e-11,2
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",3.0487885893488626e-15,1,3.0487885893488626e-15,2
