config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.5","0.8,0.5",1.7135556661883164e-14,1,1.7135556661883164e-14,2
exponential_0.8_0.5,subtract,exponential,"0.8,0.5","0.8,0.5",1.1057454043434812e-14,1,1.1057454043434812e-14,2
exponential_0.8_0.5,multiply,exponential,"0.8,0.5","0.8,0.5",4.711188154511395e-14,1,4.711188154511395e-14,2
exponential_0.8_0.5,divide,exponential,"0.8,0.5","0.8,0.5",2.126787328228001e-12,1,2.126787328228001e-12,2
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",2.3083757128006253e-13,1,2.3083757128006253e-13,2
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",8.685349540700835e-14,1,8.685349540700835e-14,2
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3297.466266836264,100,7.181014324122774e-12,2
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.19652625296640827,100,2.3123383516329885e-15,2
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",4.5203307763586055e-13,1,4.5203307763586055e-13,2
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",8.193468186798878e-12,100,1.5126156825662958e-13,2
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",4082.1693422300095,100,1.491183468987617e-11,2
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",3.0066555307311067e-15,2,3.0066555307311067e-15,2
