operation,0,0.01,0.1,1.0,3.0
a + b,2.0106468441089642e-25,2.0106468441089642e-25,2.0106468441089642e-25,6688841.910208766,16666525.584595162
a - b,2.867464211816017e-25,2.867464211816017e-25,2.867464211816017e-25,10378068.33980031,32822122.31276406
a × b,5.892989516630457e-16,5.892989516630457e-16,5.892989516630457e-16,5.892989516630457e-16,335477092830674.8
a ÷ b,1.687532566370648e-28,1.687532566370648e-28,1.687532566370648e-28,860075.545632612,447.0167607010288
a,8.671861513448645e-24,8.671861513448645e-24,8.671861513448645e-24,8.671861513448645e-24,6653964.476343488
1/a,1.107761197204644e-34,1.107761197204644e-34,1.107761197204644e-34,0.30216976040012034,0.5035123736337459
cos(θ),7.001782142163046e-36,7.001782142163046e-36,7.001782142163046e-36,7.001782142163046e-36,0.05002753675993752
sin(θ),8.065626570176293e-36,8.065626570176293e-36,8.065626570176293e-36,0.004333871087943057,0.10876756871072882
cos(θ₁+θ₂),3.7500546368364596e-26,3.7500546368364596e-26,3.7500546368364596e-26,0.14965379532929252,0.3008261109413652
sin(θ₁+θ₂),3.757264764048303e-26,3.757264764048303e-26,3.757264764048303e-26,3.757264764048303e-26,3.757264764048303e-26
cos(θ₁-θ₂),5.835375560085173e-26,5.835375560085173e-26,5.835375560085173e-26,0.15166551735913442,0.3264152820352585
sin(θ₁-θ₂),5.874787323775413e-26,5.874787323775413e-26,5.874787323775413e-26,0.248957323163736,0.34927513568558427
