config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.78460789164665e-33,100,6.78460789164665e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9089291362457005e-33,100,2.9089291362457005e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.375026467863682e-33,60,2.375026467863682e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.4125814954751707e-28,100,1.4125814954751707e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.314291571904782e-30,100,1.314291571904782e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7148906202451312e-31,100,1.7148906202451312e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3297.9385007899123,100,1.3699121821796526e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.19445817354214578,100,4.055372905997871e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1694459019517205e-30,100,3.1694459019517205e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.267947927654462e-31,70,2.267947927654462e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.370297777030042e-28,100,3.370297777030042e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7364972901298606e-32,20,4.7364972901298606e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.422208029341012e-31,100,3.422208029341012e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",7.00714352884359e-32,100,7.00714352884359e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.290045158605522e-30,100,4.290045158605522e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.585439981036309e-32,100,3.585439981036309e-32,100
