config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.5","0.8,0.5",1.7332401255282893e-14,1,1.7332401255282893e-14,2
exponential_0.8_0.5,subtract,exponential,"0.8,0.5","0.8,0.5",1.1176732477430873e-14,1,1.1176732477430873e-14,2
exponential_0.8_0.5,multiply,exponential,"0.8,0.5","0.8,0.5",4.4937513230514625e-14,1,4.4937513230514625e-14,2
exponential_0.8_0.5,divide,exponential,"0.8,0.5","0.8,0.5",1.7391423681013072e-12,1,1.7391423681013072e-12,2
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",2.3210233734971554e-13,1,2.3210233734971554e-13,2
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",8.582047484364588e-14,1,8.582047484364588e-14,2
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3298.2864561308365,100,7.172737000566741e-12,2
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.22263523891438367,100,2.299668996232029e-15,2
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",4.578595280690934e-13,1,4.578595280690934e-13,2
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",1.0363097870176927e-11,100,1.5125030903250645e-13,2
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",1.4762795958361564e-11,2,1.4762795958361564e-11,2
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",3.0484514895401834e-15,2,3.0484514895401834e-15,2
