op,optimizer,threshold,mse
cos_add,NAdam,1e-06,2.6729967536852567e-13
add,RMSProp,1e-06,2.0116414947040223e-25
subtract,RMSProp,1e-06,2.941252805300782e-25
multiply,RMSProp,1e-06,5.847882223257971e-16
divide,RMSProp,1e-06,1.9769096660234161e-28
identity,RMSProp,1e-06,8.718848719898233e-24
reciprocal,RMSProp,1e-06,1.2203761945046209e-36
sin,RMSProp,1e-06,2.1167656455492624e-13
cos_add,RMSProp,1e-06,1.9275556078726377e-13
add,Adagrad,1e-06,558.7986106733039
subtract,Adagrad,1e-06,566.1107610325382
multiply,Adagrad,1e-06,201185660631.67413
divide,Adagrad,1e-06,0.05212956627510024
identity,Adagrad,1e-06,3969.5435726356536
reciprocal,Adagrad,1e-06,1.2063268650893781e-08
sin,Adagrad,1e-06,9.708073008446571e-07
cos_add,Adagrad,1e-06,7.4870250155294645e-06
add,Adadelta,1e-06,3.5872464135106026
subtract,Adadelta,1e-06,24.80159467910807
multiply,Adadelta,1e-06,123218577.08566605
divide,Adadelta,1e-06,1.903901218127961e-05
identity,Adadelta,1e-06,60.49753795214676
reciprocal,Adadelta,1e-06,2.1745770575346195e-12
sin,Adadelta,1e-06,6.190403237555221e-06
cos_add,Adadelta,1e-06,3.1014036198489796e-06
add,Rprop,1e-06,2.0116414947040223e-25
subtract,Rprop,1e-06,2.941252805300782e-25
multiply,Rprop,1e-06,5.847882223257971e-16
divide,Rprop,1e-06,1.9769096660234161e-28
identity,Rprop,1e-06,8.718848719898233e-24
reciprocal,Rprop,1e-06,1.2203761945046209e-36
sin,Rprop,1e-06,8.080979450490757e-19
cos_add,Rprop,1e-06,3.509858511054632e-26
add,SGD+mom,1e-06,2.0116414947040223e-25
subtract,SGD+mom,1e-06,0.045726382133962074
multiply,SGD+mom,1e-06,5.847882223257971e-16
divide,SGD+mom,1e-06,1.9769096660234161e-28
identity,SGD+mom,1e-06,8.718848719898233e-24
reciprocal,SGD+mom,1e-06,1.2203761945046209e-36
sin,SGD+mom,1e-06,1.1266179912327787e-06
cos_add,SGD+mom,1e-06,8.398975261279093e-07
add,Adam(def),0.01,2.0116414947040223e-25
subtract,Adam(def),0.01,2.941252805300782e-25
multiply,Adam(def),0.01,5.847882223257971e-16
divide,Adam(def),0.01,1.9769096660234161e-28
identity,Adam(def),0.01,8.718848719898233e-24
reciprocal,Adam(def),0.01,1.2203761945046209e-36
sin,Adam(def),0.01,8.377795258084475e-36
cos_add,Adam(def),0.01,3.509858511054632e-26
add,Adam(β₂=0.5),0.01,2.0116414947040223e-25
subtract,Adam(β₂=0.5),0.01,2.941252805300782e-25
multiply,Adam(β₂=0.5),0.01,5.847882223257971e-16
divide,Adam(β₂=0.5),0.01,1.9769096660234161e-28
identity,Adam(β₂=0.5),0.01,8.718848719898233e-24
reciprocal,Adam(β₂=0.5),0.01,1.2203761945046209e-36
sin,Adam(β₂=0.5),0.01,8.377795258084475e-36
cos_add,Adam(β₂=0.5),0.01,3.509858511054632e-26
add,AdamW,0.01,2.0116414947040223e-25
subtract,AdamW,0.01,2.941252805300782e-25
multiply,AdamW,0.01,5.847882223257971e-16
divide,AdamW,0.01,1.9769096660234161e-28
identity,AdamW,0.01,8.718848719898233e-24
reciprocal,AdamW,0.01,7.495948882439452e-08
sin,AdamW,0.01,8.377795258084475e-36
cos_add,AdamW,0.01,3.509858511054632e-26
add,RAdam,0.01,2.0116414947040223e-25
subtract,RAdam,0.01,2.941252805300782e-25
multiply,RAdam,0.01,5.847882223257971e-16
divide,RAdam,0.01,1.9769096660234161e-28
identity,RAdam,0.01,8.718848719898233e-24
reciprocal,RAdam,0.01,1.2203761945046209e-36
sin,RAdam,0.01,8.377795258084475e-36
cos_add,RAdam,0.01,3.509858511054632e-26
add,NAdam,0.01,2.0116414947040223e-25
subtract,NAdam,0.01,2.941252805300782e-25
multiply,NAdam,0.01,5.847882223257971e-16
divide,NAdam,0.01,1.9769096660234161e-28
identity,NAdam,0.01,8.718848719898233e-24
reciprocal,NAdam,0.01,1.2203761945046209e-36
sin,NAdam,0.01,8.377795258084475e-36
cos_add,NAdam,0.01,3.509858511054632e-26
add,RMSProp,0.01,2.0116414947040223e-25
subtract,RMSProp,0.01,2.941252805300782e-25
multiply,RMSProp,0.01,5.847882223257971e-16
divide,RMSProp,0.01,1.9769096660234161e-28
